日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击,宝贝优惠券抵扣金额,宝贝优惠券撬动总成交,宝贝优惠券撬动直接成交,宝贝优惠券撬动点击,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-07-04,371,关键词推广,371,关键词推广,81734484807,手机_Y70_AI托管计划,1047256724586,商品,【12+256补贴400+国补15%】联想拯救者手机Y70 新一代支持梦幻多开 2K电竞屏 性能旗舰电竞游戏手机 学生手机,5493,240,197.11,0.04369,0.82,35.88,0.00,0,0.00,0,0.00,0,5288.00,2289.00,7577.00,3,2,1,0.0125,38.44,38.44,65.70,5,5,0,0.02083,4,0,,9,21.90,9,21.90,4,49.28,0.01667,39.42,4,11796.00,2,2,7,0,0.00,1,641,242,121,0.5,0.00417,1,0.11669,344,3,2,0.66667,1,4878.00,2,3,1,2525.67,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81716692428,选件_移动固态金卡,709137427851,商品,联想拯救者移动固态硬盘高速固态硬盘1t磁吸大容量手机电脑两用,2233,186,199.29,0.0833,1.07,89.25,0.00,0,0.00,0,0.00,0,0.00,299.00,299.00,1,0,1,0.00538,1.50,1.50,199.29,13,9,4,0.06989,2,1,199.29,16,12.46,15,13.29,3,99.65,0.01075,15.33,2,13098.00,1,1,1,0,0.00,5,591,176,68,0.38636,0,0,0.26467,379,3,1,1,0,0.00,0,1,1,299.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81713629196,手机_Y70关键词手动计划,1047256724586,商品,【12+256补贴400+国补15%】联想拯救者手机Y70 新一代支持梦幻多开 2K电竞屏 性能旗舰电竞游戏手机 学生手机,8599,563,393.96,0.06547,0.70,45.81,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,13,10,3,0.02309,5,0,,18,21.89,18,21.89,5,78.79,0.00888,30.30,1,4899.00,3,2,7,0,0.00,5,1046,511,359,0.70254,0,0,0.12164,452,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81704269349,nb拯救者Y9000P智能AI推广计划7185,1046922357185,商品,【学生立减500起叠加国补】联想拯救者Y9000P/Y9000P至尊版 2026可选酷睿Ultra9 RTX5060 电竞游戏笔记本电脑,27452,3081,989.91,0.11223,0.32,36.06,0.00,0,0.00,0,0.00,0,154512.00,111487.00,265999.00,16,8,8,0.00519,268.71,268.71,61.87,195,114,81,0.06329,21,14,70.71,230,4.30,216,4.58,35,47.14,0.00682,5.08,47,798753.00,12,9,91,0,0.00,69,9512,2618,1460,0.55768,0.00584,18,0.3465,6279,4,14,0.93333,1,81959.00,6,15,1,17733.27,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81700700414,异能者EQ_Z02挂脖全站6.25,965943609748,商品,联想投资品牌异能者挂脖式蓝牙耳机实时耳返混响直播K歌运动跑步,2070,78,100.00,0.03768,1.28,48.31,0.00,0,0.00,0,0.00,0,77.90,0.00,77.90,1,1,0,0.01282,0.78,0.78,100.00,7,7,0,0.08974,2,0,,9,11.11,9,11.11,2,50.00,0.02564,14.29,1,159.00,2,0,1,0,0.00,1,140,64,48,0.75,0.01282,1,0.06763,53,2,1,1,0,77.90,1,1,1,77.90,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,4.00,77.90,1,1
2026-07-04,371,关键词推广,371,关键词推广,81662649883,nb小新air14智能AI推广加能3950,1045221343950,商品,【国补至高15%】联想小新air14 2026酷睿Ultra5 14英寸轻薄本笔记本电脑 联想AIPC笔记本电脑 学生电脑便携,5648,464,600.00,0.08215,1.29,106.23,0.00,0,0.00,0,0.00,0,23977.00,0.00,23977.00,3,3,0,0.00647,39.96,39.96,200.00,34,23,11,0.07328,5,0,,39,15.38,39,15.38,5,120.00,0.01078,17.65,8,60992.00,5,0,9,0,0.00,12,1395,407,228,0.5602,0.00431,2,0.24699,893,3,3,1,0,7979.00,1,3,1,7992.33,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,70.00,7979.00,1,1
2026-07-04,371,关键词推广,371,关键词推广,81640547991,异能者电脑包趋势明星2,1049454789862,商品,新品异能者电脑包大容量防泼面料简约轻便通勤公文包笔记本手提包适用苹果macbook联想拯救者华为14寸16寸,695,32,50.00,0.04604,1.56,71.94,0.00,0,0.00,0,0.00,0,58.71,0.00,58.71,1,1,0,0.03125,1.17,1.17,50.00,1,1,0,0.03125,1,0,,2,25.00,2,25.00,1,50.00,0.03125,50.00,2,198.00,1,0,0,0,0.00,1,41,29,15,0.51724,0,0,0.05899,9,1,0,0,0,0.00,0,1,1,58.71,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81605704714,IP_XS510固态U盘流量金卡,843912713918,商品,联想小新XS510固态U盘大容量双接口固态高速手机电脑两用车载U盘,1242,95,207.32,0.07649,2.18,166.92,0.00,0,0.00,0,0.00,0,850.64,53.00,903.64,3,2,1,0.03158,4.36,4.36,69.11,14,9,5,0.14737,3,2,103.66,19,10.91,17,12.20,5,69.11,0.03158,14.81,4,1828.00,1,2,4,0,0.00,4,404,79,39,0.49367,0.01053,1,0.32528,286,5,3,1,1,581.22,2,3,1,301.21,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81569123800,全站推广_异能者N520黑骑士_0625,1057948369396,商品,【新品】联想投资品牌异能者鼠标无线双模萌酷造型轻音办公长续航,1795,79,46.04,0.04401,0.58,25.65,0.00,0,0.00,0,0.00,0,534.00,0.00,534.00,6,6,0,0.07595,11.60,11.60,7.67,9,9,0,0.11392,2,1,46.04,12,3.84,11,4.19,3,23.02,0.02532,5.12,7,1393.00,2,0,0,0,0.00,1,176,66,44,0.66667,0,0,0.09805,94,3,6,1,0,0.00,0,6,1,89.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81560567874,nb拯救者Y7000P推广AI计划,802967825905,商品,【学生减500叠加消费券】联想拯救者Y7000P 酷睿Ultra7 255HX RTX5060 AI高静游戏本电竞笔记本电脑联想学生,16616,2322,989.60,0.13974,0.43,59.56,0.00,0,0.00,0,0.00,0,41377.00,40600.90,81977.90,7,3,4,0.00301,82.84,82.84,141.37,96,36,60,0.04134,16,6,164.93,118,8.39,112,8.84,22,61.85,0.00689,10.31,14,185326.00,9,7,47,0,0.00,30,8067,2009,1243,0.61872,0.00086,2,0.4855,5593,4,4,0.66667,0,23778.00,2,6,1,13662.98,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,70.00,13799.00,1,1
